date;val1;val2;val3;val4;val5;val6;val7;val8;vbl1;vbl2;vbl3;vbl4;vbl5;vbl6;vbl7;vbl8;vbsv;vcsv;vk4;vk6;temp1;temp2;temp3;temp4;amb_temp;amb_rh;amb_pressure;box_temp;dut_temp;tec_curr;sv_temp;
13/01/2025-13:15:13;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070862590e+01;1.000070862590e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999869760e+01;6.058663563e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324540000e+01;0.000000000e+00;0.000000000e+00;2.225110000e+01;0.0;0.0;23.0;0.0;22.648;18.2;1005.7;28.018;27.753;0.158;28.000;
13/01/2025-13:15:27;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070874161e+01;1.000070874161e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999881378e+01;6.058665311e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324580000e+01;0.000000000e+00;0.000000000e+00;2.225720000e+01;0.0;0.0;23.0;0.0;22.648;18.2;1005.7;28.009;27.755;0.171;28.000;
13/01/2025-13:15:40;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070886193e+01;1.000070886193e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999871125e+01;6.058667653e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324610000e+01;0.000000000e+00;0.000000000e+00;2.225350000e+01;0.0;0.0;23.0;0.0;22.638;18.2;1005.7;28.015;27.757;0.186;28.000;
13/01/2025-13:15:54;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070899309e+01;1.000070899309e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999869419e+01;6.058670752e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324600000e+01;0.000000000e+00;0.000000000e+00;2.225120000e+01;0.0;0.0;23.0;0.0;22.643;18.2;1005.7;28.007;27.759;0.182;28.000;
13/01/2025-13:16:07;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070910147e+01;1.000070910147e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999856400e+01;6.058675815e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324600000e+01;0.000000000e+00;0.000000000e+00;2.225510000e+01;0.0;0.0;23.0;0.0;22.653;18.2;1005.7;28.011;27.761;0.180;28.000;
13/01/2025-13:16:21;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070918213e+01;1.000070918213e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999858950e+01;6.058680913e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324590000e+01;0.000000000e+00;0.000000000e+00;2.224520000e+01;0.0;0.0;23.0;0.0;22.648;18.2;1005.7;28.016;27.762;0.161;28.000;
13/01/2025-13:16:34;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070924237e+01;1.000070924237e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999864570e+01;6.058684210e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324570000e+01;0.000000000e+00;0.000000000e+00;2.225610000e+01;0.0;0.0;23.0;0.0;22.648;18.2;1005.7;28.014;27.765;0.173;28.000;
13/01/2025-13:16:48;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070933221e+01;1.000070933221e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999859488e+01;6.058686679e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324560000e+01;0.000000000e+00;0.000000000e+00;2.225550000e+01;0.0;0.0;23.0;0.0;22.653;18.2;1005.7;28.012;27.767;0.167;28.000;
13/01/2025-13:17:01;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070948909e+01;1.000070948909e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999855627e+01;6.058689471e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324570000e+01;0.000000000e+00;0.000000000e+00;2.225670000e+01;0.0;0.0;23.0;0.0;22.653;18.2;1005.6;28.011;27.770;0.176;28.000;
13/01/2025-13:17:15;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070963125e+01;1.000070963125e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999861679e+01;6.058691976e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324570000e+01;0.000000000e+00;0.000000000e+00;2.225320000e+01;0.0;0.0;23.0;0.0;22.658;18.2;1005.7;28.013;27.771;0.170;28.000;
13/01/2025-13:17:28;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070973806e+01;1.000070973806e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999858123e+01;6.058694606e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324610000e+01;0.000000000e+00;0.000000000e+00;2.224930000e+01;0.0;0.0;23.0;0.0;22.658;18.2;1005.7;28.005;27.773;0.187;28.000;
13/01/2025-13:17:42;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070984496e+01;1.000070984496e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999861068e+01;6.058698101e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324580000e+01;0.000000000e+00;0.000000000e+00;2.225870000e+01;0.0;0.0;23.0;0.0;22.653;18.2;1005.8;28.012;27.775;0.175;28.000;
13/01/2025-13:17:55;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000070993527e+01;1.000070993527e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999861877e+01;6.058699020e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324550000e+01;0.000000000e+00;0.000000000e+00;2.224680000e+01;0.0;0.0;23.0;0.0;22.648;18.2;1005.8;28.005;27.778;0.180;28.000;
13/01/2025-13:18:09;3.160000000000e-03;1.000000000000e+00;1.200000000000e+01;1.000071002196e+01;1.000071002196e+01;2.300000000000e+01;2.300000000e+01;2.300000000e+01;0.000000000e+00;9.999870460e+01;6.058702786e+03;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;0.000000000e+00;2.324580000e+01;0.000000000e+00;0.000000000e+00;2.224420000e+01;0.0;0.0;23.0;0.0;22.648;18.2;1005.8;28.008;27.780;0.177;28.000;
